state,submission_year,submission_month,new_case,new_death,population,pnew_case,pnew_death
MN,2021,10,76456.0,537.0,5706494,0.013398068936898908,9.410331457458818e-05
MN,2021,11,116866.0,713.0,5706494,0.02047947478784697,0.0001249453692582521
MN,2021,12,57080.0,582.0,5706494,0.010002639098542819,0.00010198906719257043
MO,2020,1,0.0,0.0,6154913,0.0,0.0
MO,2020,2,0.0,0.0,6154913,0.0,0.0
MO,2020,3,2558.0,32.0,6154913,0.0004156029500335748,5.199098671256604e-06
MO,2020,4,6142.0,446.0,6154913,0.0009979020012143144,7.246243773063892e-05
MO,2020,5,5393.0,418.0,6154913,0.0008762105979402146,6.79132263932894e-05
MO,2020,6,11267.0,213.0,6154913,0.0018305701477827551,3.460650053055177e-05
MO,2020,7,30375.0,286.0,6154913,0.004935081941856855,4.64669443743559e-05
MO,2020,8,35304.0,486.0,6154913,0.005735905609063848,7.896131106970968e-05
MO,2020,9,46213.0,644.0,6154913,0.00750831084046192,0.00010463186075903917
MO,2020,10,65625.0,980.0,6154913,0.010662214071912958,0.00015922239680723352
MO,2020,11,135242.0,1599.0,6154913,0.021973015703065178,0.00025979246172935344
MO,2020,12,111450.0,1752.0,6154913,0.01810748584098589,0.0002846506522512991
MO,2021,1,76800.0,1249.0,6154913,0.01247783681101585,0.00020292732001248433
MO,2021,2,24690.0,463.0,6154913,0.0040114295685414235,7.5224458899744e-05
MO,2021,3,17032.0,236.0,6154913,0.0027672202677763275,3.8343352700517455e-05
MO,2021,4,17582.0,155.0,6154913,0.0028565797761885506,2.5183134188899178e-05
MO,2021,5,14044.0,121.0,6154913,0.0022817544293477422,1.9659091850689034e-05
MO,2021,6,20308.0,235.0,6154913,0.0032994779942462226,3.818088086704069e-05
MO,2021,7,61493.0,352.0,6154913,0.009990880455986948,5.7190085383822645e-05
MO,2021,8,79045.0,955.0,6154913,0.012842586077171196,0.00015516060097031428
MO,2021,9,61059.0,893.0,6154913,0.009920367680258032,0.0001450873472947546
MO,2021,10,33639.0,540.0,6154913,0.005465390006325029,8.77347900774552e-05
MO,2021,11,44513.0,609.0,6154913,0.007232108723551413,9.894534658735225e-05
MO,2021,12,35242.0,245.0,6154913,0.005725832355388289,3.980559920180838e-05
MS,2020,1,0.0,0.0,2961279,0.0,0.0
MS,2020,2,0.0,0.0,2961279,0.0,0.0
MS,2020,3,2242.0,153.0,2961279,0.0007571052913285105,5.166686421644161e-05
MS,2020,4,6218.0,427.0,2961279,0.0020997683771100256,0.0001441944511138599
MS,2020,5,8987.0,440.0,2961279,0.003034837311850724,0.00014858444611264254
MS,2020,6,15389.0,391.0,2961279,0.005196741002789673,0.0001320375418864619
MS,2020,7,31944.0,852.0,2961279,0.010787230787777848,0.0002877135183817533
MS,2020,8,21714.0,608.0,2961279,0.0073326424156589095,0.00020531668917383333
MS,2020,9,15005.0,379.0,2961279,0.0050670673043640944,0.00012798523881066254
MS,2020,10,21304.0,436.0,2961279,0.007194188727235765,0.00014723367842070943
MS,2020,11,36049.0,719.0,2961279,0.012173456131624207,0.00024280049262497723
MS,2020,12,63076.0,1241.0,2961279,0.021300255734093276,0.00041907567642224865
MS,2021,1,55973.0,1048.0,2961279,0.01890163000514305,0.00035390113528647587
MS,2021,2,18619.0,329.0,2961279,0.006287485914025662,0.00011110064266149863
MS,2021,3,9712.0,178.0,2961279,0.0032796639560136007,6.010916229102357e-05
MS,2021,4,6746.0,115.0,2961279,0.0022780697124451968,3.883457114307703e-05
MS,2021,5,5132.0,100.0,2961279,0.0017330349487501852,3.376919229832785e-05
MS,2021,6,4189.0,70.0,2961279,0.0014145914653769538,2.3638434608829495e-05
MS,2021,7,24532.0,278.0,2961279,0.008284258254625788,9.387835458935142e-05
MS,2021,8,92830.0,464.0,2961279,0.031347941210537744,0.00015668905226424122
MS,2021,9,49555.0,599.0,2961279,0.016734323243436367,0.00020227746186698381
MS,2021,10,15102.0,188.0,2961279,0.005099823420893472,6.348608152085636e-05
MS,2021,11,9853.0,113.0,2961279,0.003327278517154243,3.815918729711047e-05
MS,2021,12,6088.0,49.0,2961279,0.0020558684271221998,1.6546904226180647e-05
MT,2020,1,0.0,0.0,1084225,0.0,0.0
MT,2020,2,0.0,0.0,1084225,0.0,0.0
